Microorganism,Antibiotics,Year,Country,N,%R,Fully susceptible,%ESBL,Non-susceptible,Number of laboratories
Escherichia coli,aminoglycosides,2010,Norway,2246,4.3,,,,
Escherichia coli,aminoglycosides,2010,Denmark,3412,5.8,,,,
Escherichia coli,aminoglycosides,2010,Finland,2356,3.8,,,,
Escherichia coli,aminoglycosides,2010,Latvia,98,11.2,,,,
Escherichia coli,aminoglycosides,2010,Luxembourg,354,6.5,,,,
Escherichia coli,aminoglycosides,2010,Germany,3021,8.7,,,,
Escherichia coli,aminoglycosides,2010,Austria,2915,6.5,,,,
Escherichia coli,aminoglycosides,2010,Estonia,269,5.6,,,,
Escherichia coli,aminoglycosides,2010,France,9025,7.2,,,,
Escherichia coli,aminoglycosides,2010,Croatia,882,6.7,,,,
Escherichia coli,aminoglycosides,2010,Czech Republic,2449,8.5,,,,
Escherichia coli,aminoglycosides,2010,United Kingdom,4929,8.3,,,,
Escherichia coli,aminoglycosides,2010,Malta,192,22.4,,,,
Escherichia coli,aminoglycosides,2010,Slovenia,952,8.8,,,,
Escherichia coli,aminoglycosides,2010,Poland,704,9.1,,,,
Escherichia coli,aminoglycosides,2010,Lithuania,331,14.5,,,,
Escherichia coli,aminoglycosides,2010,Ireland,2118,9.9,,,,
Escherichia coli,aminoglycosides,2010,Romania,33,12.1,,,,
Escherichia coli,aminoglycosides,2010,Spain,5696,14.2,,,,
Escherichia coli,aminoglycosides,2010,Portugal,1979,12.0,,,,
Escherichia coli,aminoglycosides,2010,Greece,1530,16.5,,,,
Escherichia coli,aminoglycosides,2010,Hungary,1384,21.2,,,,
Escherichia coli,aminoglycosides,2010,Italy,2609,15.5,,,,
Escherichia coli,aminoglycosides,2010,Cyprus,138,15.9,,,,
Escherichia coli,aminoglycosides,2010,Bulgaria,152,15.8,,,,
Escherichia coli,aminoglycosides,2011,Iceland,129,6.2,,,,
Escherichia coli,aminoglycosides,2011,Sweden,4274,4.5,,,,
Escherichia coli,aminoglycosides,2011,Belgium,3831,9.3,,,,
Escherichia coli,aminoglycosides,2011,Netherlands,4431,7.8,,,,
Escherichia coli,aminoglycosides,2011,Norway,2470,4.1,,,,
Escherichia coli,aminoglycosides,2011,Denmark,3638,6.4,,,,
Escherichia coli,aminoglycosides,2011,Finland,3020,5.2,,,,
Escherichia coli,aminoglycosides,2011,Latvia,132,11.4,,,,
Escherichia coli,aminoglycosides,2011,Luxembourg,354,8.2,,,,
Escherichia coli,aminoglycosides,2011,Germany,3645,7.6,,,,
Escherichia coli,aminoglycosides,2011,Austria,3144,7.4,,,,
Escherichia coli,aminoglycosides,2011,Estonia,314,4.8,,,,
Escherichia coli,aminoglycosides,2011,France,8742,7.9,,,,
Escherichia coli,aminoglycosides,2011,Croatia,979,7.6,,,,
Escherichia coli,aminoglycosides,2011,Czech Republic,2674,8.8,,,,
Escherichia coli,aminoglycosides,2011,United Kingdom,5661,8.2,,,,
Escherichia coli,aminoglycosides,2011,Malta,219,15.5,,,,
Escherichia coli,aminoglycosides,2011,Slovenia,1002,9.8,,,,
