Year,Microorganism,Continent,Country,%ESBL,%R,Azithromycin,Beta.lactamase,Cefixime,Ceftriaxone,Ciprofloxacin,Fully susceptible,Group,N,NG_MAST,Non-susceptible,Number of laboratories,Penicillin,Tetracycline,azm_mic,cfx_mic,cip_mic,cro_mic,log2_azm_mic,log2_cfx_mic,log2_cip_mic,log2_cro_mic,log2_pen_mic,log2_tet_mic,pen_mic,tet_mic,3GCREC,3GCRKP,AMINOGLYCOSIDES,AMINOPENICILLINS,AZM,CARBAPENEMS,CEFTAZIDIME,CFX,CIP,CRO,FLUOROQUINOLONES,GENTAMICIN,MACROLIDES,METICILLIN,PEN,PENICILLINS,PIPERACILLIN+TAZOBACTAM,TET,THIRD-GENERATION CEPHALOSPORINS,VANCOMYCIN
1998,NEISSERIA GONORRHOEAE,America,Canada,,,2,,0.008,0.016,,,171.0,,21,,,,,2.0,0.008,,0.016,1.0,-6.965784285,,-5.965784285,,,,,,,,,1.0,,,1.0,0.0,1.0,,,,,0.0,,,0.0,,
1998,NEISSERIA GONORRHOEAE,America,Canada,,,1,,0.125,0.25,0.016,,171.0,,21,,,2,4,1.0,0.125,0.016,0.25,0.0,-3.0,-5.965784285,-2.0,1.0,2.0,2.0,4.0,,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,
1998,NEISSERIA GONORRHOEAE,America,Canada,,,2,,0.032,0.016,,,676.0,,10502,,,,,2.0,0.032,,0.016,1.0,-4.965784285,,-5.965784285,,,,,,,,,1.0,,,1.0,0.0,1.0,,,,,0.0,,,0.0,,
1998,NEISSERIA GONORRHOEAE,America,Canada,,,2,,0.016,0.063,,,681.0,,10575,,,,,2.0,0.016,,0.063,1.0,-5.965784285,,-3.988504361,,,,,,,,,1.0,,,1.0,0.0,1.0,,,,,0.0,,,0.0,,
1998,NEISSERIA GONORRHOEAE,America,Canada,,,2,,0.032,0.032,,,317.0,,5,,,,,2.0,0.032,,0.032,1.0,-4.965784285,,-4.965784285,,,,,,,,,1.0,,,1.0,0.0,1.0,,,,,0.0,,,0.0,,
1998,NEISSERIA GONORRHOEAE,America,Canada,,,2,,0.032,0.032,,,683.0,,10577,,,,,2.0,0.032,,0.032,1.0,-4.965784285,,-4.965784285,,,,,,,,,1.0,,,1.0,0.0,1.0,,,,,0.0,,,0.0,,
1998,NEISSERIA GONORRHOEAE,America,Canada,,,2,,0.032,0.063,,,317.0,,5,,,,,2.0,0.032,,0.063,1.0,-4.965784285,,-3.988504361,,,,,,,,,1.0,,,1.0,0.0,1.0,,,,,0.0,,,0.0,,
1998,NEISSERIA GONORRHOEAE,America,Canada,,,2,,0.008,0.008,,,317.0,,5,,,,,2.0,0.008,,0.008,1.0,-6.965784285,,-6.965784285,,,,,,,,,1.0,,,1.0,0.0,1.0,,,,,0.0,,,0.0,,
1998,NEISSERIA GONORRHOEAE,America,Canada,,,4,,0.016,0.008,,,372.0,,64,,,,,4.0,0.016,,0.008,2.0,-5.965784285,,-6.965784285,,,,,,,,,1.0,,,1.0,0.0,1.0,,,,,0.0,,,0.0,,
1998,NEISSERIA GONORRHOEAE,America,Canada,,,4,,0.008,0.008,,,372.0,,64,,,,,4.0,0.008,,0.008,2.0,-6.965784285,,-6.965784285,,,,,,,,,1.0,,,1.0,0.0,1.0,,,,,0.0,,,0.0,,
1998,NEISSERIA GONORRHOEAE,America,Brasil,,,0.032,S,0.016,0.002,0.002,,372.0,,64,,,0.125,0.5,0.032,0.016,0.002,0.002,-4.965784285,-5.965784285,-8.965784285,-8.965784285,-3.0,-1.0,0.125,0.5,,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,
1998,NEISSERIA GONORRHOEAE,America,USA,,,0.125,S,0.016,0.004,32,,195.0,,270,,,0.5,1.5,0.125,0.016,32.0,0.004,-3.0,-5.965784285,5.0,-7.965784285,-1.0,0.584962501,0.5,1.5,,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,
1998,NEISSERIA GONORRHOEAE,America,USA,,,0.094,S,0.016,0.004,0.002,,372.0,,64,,,0.38,0.75,0.094,0.016,0.002,0.004,-3.411195433,-5.965784285,-8.965784285,-7.965784285,-1.395928676,-0.415037499,0.38,0.75,,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,
1998,NEISSERIA GONORRHOEAE,America,USA,,,0.094,S,0.016,0.002,0.002,,193.0,,26,,,0.19,0.38,0.094,0.016,0.002,0.002,-3.411195433,-5.965784285,-8.965784285,-8.965784285,-2.395928676,-1.395928676,0.19,0.38,,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,
1998,NEISSERIA GONORRHOEAE,America,USA,,,0.125,S,0.016,0.004,0.003,,1.0,,-,,,0.25,0.38,0.125,0.016,0.003,0.004,-3.0,-5.965784285,-8.380821784,-7.965784285,-2.0,-1.395928676,0.25,0.38,,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,
1998,NEISSERIA GONORRHOEAE,America,USA,,,0.064,S,0.016,0.003,0.002,,196.0,,272,,,0.25,0.38,0.064,0.016,0.002,0.003,-3.965784285,-5.965784285,-8.965784285,-8.380821784,-2.0,-1.395928676,0.25,0.38,,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,
1998,NEISSERIA GONORRHOEAE,America,Caribbean,,,0.023,R,0.016,0.002,0.002,,1.0,,-,,,12,0.38,0.023,0.016,0.002,0.002,-5.442222329,-5.965784285,-8.965784285,-8.965784285,3.584962501,-1.395928676,12.0,0.38,,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,
1998,NEISSERIA GONORRHOEAE,America,Cuba,,,0.016,S,0.016,0.002,0.003,,1.0,,-,,,0.094,0.5,0.016,0.016,0.003,0.002,-5.965784285,-5.965784285,-8.380821784,-8.965784285,-3.411195433,-1.0,0.094,0.5,,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,
1998,NEISSERIA GONORRHOEAE,Europe,Denmark,,,0.094,S,0.016,0.002,0.002,,285.0,,41,,,0.19,0.19,0.094,0.016,0.002,0.002,-3.411195433,-5.965784285,-8.965784285,-8.965784285,-2.395928676,-2.395928676,0.19,0.19,,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,
1998,NEISSERIA GONORRHOEAE,Europe,Denmark,,,0.094,S,0.016,0.002,0.002,,1.0,,-,,,0.25,0.75,0.094,0.016,0.002,0.002,-3.411195433,-5.965784285,-8.965784285,-8.965784285,-2.0,-0.415037499,0.25,0.75,,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,
1998,NEISSERIA GONORRHOEAE,Europe,Denmark,,,0.19,S,0.023,0.012,0.008,,171.0,,21,,,1,1,0.19,0.023,0.008,0.012,-2.395928676,-5.442222329,-6.965784285,-6.380821784,0.0,0.0,1.0,1.0,,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,
1998,NEISSERIA GONORRHOEAE,Europe,Denmark,,,0.19,S,0.016,0.008,0.008,,388.0,,7289,,,1,1.5,0.19,0.016,0.008,0.008,-2.395928676,-5.965784285,-6.965784285,-6.965784285,0.0,0.584962501,1.0,1.5,,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,
1998,NEISSERIA GONORRHOEAE,Europe,Denmark,,,0.094,S,0.016,0.002,0.003,,427.0,,85,,,0.25,0.5,0.094,0.016,0.003,0.002,-3.411195433,-5.965784285,-8.380821784,-8.965784285,-2.0,-1.0,0.25,0.5,,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,
1998,NEISSERIA GONORRHOEAE,Europe,France,,,0.032,S,0.016,0.002,0.003,,122.0,,132,,,0.125,0.38,0.032,0.016,0.003,0.002,-4.965784285,-5.965784285,-8.380821784,-8.965784285,-3.0,-1.395928676,0.125,0.38,,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,
1998,NEISSERIA GONORRHOEAE,Europe,France,,,0.094,S,0.016,0.003,0.002,,427.0,,85,,,0.38,0.38,0.094,0.016,0.002,0.003,-3.411195433,-5.965784285,-8.965784285,-8.380821784,-1.395928676,-1.395928676,0.38,0.38,,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,
1998,NEISSERIA GONORRHOEAE,America,Cuba,,,0.032,R,0.016,0.002,0.002,,1.0,,-,,,16,24,0.032,0.016,0.002,0.002,-4.965784285,-5.965784285,-8.965784285,-8.965784285,4.0,4.584962501,16.0,24.0,,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,
1998,NEISSERIA GONORRHOEAE,Europe,Germany,,,0.016,S,0.016,0.004,0.002,,241.0,,356,,,0.094,0.19,0.016,0.016,0.002,0.004,-5.965784285,-5.965784285,-8.965784285,-7.965784285,-3.411195433,-2.395928676,0.094,0.19,,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,
1998,NEISSERIA GONORRHOEAE,Europe,Germany,,,0.047,S,0.016,0.023,0.008,,116.0,,12970,,,3,1.5,0.047,0.016,0.008,0.023,-4.411195433,-5.965784285,-6.965784285,-5.442222329,1.584962501,0.584962501,3.0,1.5,,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,
1998,NEISSERIA GONORRHOEAE,Europe,Germany,,,0.064,S,0.016,0.003,0.002,,1.0,,-,,,1,0.5,0.064,0.016,0.002,0.003,-3.965784285,-5.965784285,-8.965784285,-8.380821784,0.0,-1.0,1.0,0.5,,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,
1998,NEISSERIA GONORRHOEAE,Europe,Greece,,,0.25,S,0.016,0.012,0.012,,314.0,,495,,,2,1,0.25,0.016,0.012,0.012,-2.0,-5.965784285,-6.380821784,-6.380821784,1.0,0.0,2.0,1.0,,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,
1998,NEISSERIA GONORRHOEAE,Europe,Greece,,,0.25,S,0.016,0.006,0.008,,314.0,,495,,,2,3,0.25,0.016,0.008,0.006,-2.0,-5.965784285,-6.965784285,-7.380821784,1.0,1.584962501,2.0,3.0,,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,
1998,NEISSERIA GONORRHOEAE,Europe,Greece,,,0.25,S,0.016,0.008,0.012,,314.0,,495,,,1.5,1.5,0.25,0.016,0.012,0.008,-2.0,-5.965784285,-6.380821784,-6.965784285,0.584962501,0.584962501,1.5,1.5,,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,
1998,NEISSERIA GONORRHOEAE,Europe,Greece,,,0.19,R,0.016,0.008,0.25,,1.0,,-,,,8,2,0.19,0.016,0.25,0.008,-2.395928676,-5.965784285,-2.0,-6.965784285,3.0,1.0,8.0,2.0,,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,
1998,NEISSERIA GONORRHOEAE,Europe,Greece,,,0.125,S,0.016,0.002,0.006,,1.0,,-,,,0.064,1.5,0.125,0.016,0.006,0.002,-3.0,-5.965784285,-7.380821784,-8.965784285,-3.965784285,0.584962501,0.064,1.5,,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,
1998,NEISSERIA GONORRHOEAE,Europe,Hungary,,,0.094,S,0.016,0.003,0.002,,1.0,,-,,,1,0.38,0.094,0.016,0.002,0.003,-3.411195433,-5.965784285,-8.965784285,-8.380821784,0.0,-1.395928676,1.0,0.38,,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,
1998,NEISSERIA GONORRHOEAE,Europe,Italy,,,0.25,S,0.016,0.002,0.003,,381.0,,69,,,0.032,0.25,0.25,0.016,0.003,0.002,-2.0,-5.965784285,-8.380821784,-8.965784285,-4.965784285,-2.0,0.032,0.25,,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,
1998,NEISSERIA GONORRHOEAE,America,Cuba,,,0.047,R,0.016,0.003,0.002,,1.0,,-,,,16,12,0.047,0.016,0.002,0.003,-4.411195433,-5.965784285,-8.965784285,-8.380821784,4.0,3.584962501,16.0,12.0,,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,
1998,NEISSERIA GONORRHOEAE,Europe,Italy,,,0.094,S,0.016,0.003,0.002,,380.0,,685,,,0.25,0.25,0.094,0.016,0.002,0.003,-3.411195433,-5.965784285,-8.965784285,-8.380821784,-2.0,-2.0,0.25,0.25,,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,
1998,NEISSERIA GONORRHOEAE,Europe,Norway,,,0.047,S,0.016,0.002,0.002,,1.0,,-,,,0.19,12,0.047,0.016,0.002,0.002,-4.411195433,-5.965784285,-8.965784285,-8.965784285,-2.395928676,3.584962501,0.19,12.0,,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,
1998,NEISSERIA GONORRHOEAE,Europe,Poland,,,0.032,S,0.016,0.002,0.002,,11.0,,1152,,,0.016,0.19,0.032,0.016,0.002,0.002,-4.965784285,-5.965784285,-8.965784285,-8.965784285,-5.965784285,-2.395928676,0.016,0.19,,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,
1998,NEISSERIA GONORRHOEAE,Europe,Poland,,,0.016,S,0.016,0.002,0.002,,1.0,,-,,,0.125,0.38,0.016,0.016,0.002,0.002,-5.965784285,-5.965784285,-8.965784285,-8.965784285,-3.0,-1.395928676,0.125,0.38,,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,
