Year,Microorganism,Country,%R,N,Fully susceptible,%ESBL,Non-susceptible,Number of laboratories,3GCREC,3GCRKP,AMINOGLYCOSIDES,AMINOPENICILLINS,CARBAPENEMS,CEFTAZIDIME,FLUOROQUINOLONES,GENTAMICIN,MACROLIDES,METICILLIN,PENICILLINS,PIPERACILLIN+TAZOBACTAM,THIRD-GENERATION CEPHALOSPORINS,VANCOMYCIN
2011,ESCHERICHIA COLI,Italy,19.8,1870,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2011,ESCHERICHIA COLI,Slovakia,30.9,740,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2011,ESCHERICHIA COLI,Cyprus,36.2,138,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2011,ESCHERICHIA COLI,Bulgaria,22.9,179,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2012,ESCHERICHIA COLI,Iceland,5.1,138,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2012,ESCHERICHIA COLI,Sweden,4.4,5536,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2012,ESCHERICHIA COLI,Norway,4.9,3019,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2012,ESCHERICHIA COLI,Netherlands,6.0,4702,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2012,ESCHERICHIA COLI,Finland,6.2,3162,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2012,ESCHERICHIA COLI,Estonia,7.9,305,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2012,ESCHERICHIA COLI,Lithuania,4.8,462,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2012,ESCHERICHIA COLI,Belgium,6.9,4097,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2012,ESCHERICHIA COLI,Denmark,7.9,2519,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2012,ESCHERICHIA COLI,Slovenia,9.5,1168,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2012,ESCHERICHIA COLI,Croatia,7.5,906,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2012,ESCHERICHIA COLI,Malta,13.9,216,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2012,ESCHERICHIA COLI,France,10.0,9563,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2012,ESCHERICHIA COLI,Austria,8.7,3710,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2012,ESCHERICHIA COLI,Ireland,9.2,2288,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2012,ESCHERICHIA COLI,Luxembourg,11.4,334,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0
